Time,Patch,ZWZW,ZWZZ,ZWMZ,ZWMM,ZWMW,ZWRW,ZWRZ,ZWMR,ZWRR,ZZZW,ZZZZ,ZZMZ,ZZMM,ZZMW,ZZRW,ZZRZ,ZZMR,ZZRR,MZZW,MZZZ,MZMZ,MZMM,MZMW,MZRW,MZRZ,MZMR,MZRR,MMZW,MMZZ,MMMZ,MMMM,MMMW,MMRW,MMRZ,MMMR,MMRR,MWZW,MWZZ,MWMZ,MWMM,MWMW,MWRW,MWRZ,MWMR,MWRR,RWZW,RWZZ,RWMZ,RWMM,RWMW,RWRW,RWRZ,RWMR,RWRR,RZZW,RZZZ,RZMZ,RZMM,RZMW,RZRW,RZRZ,RZMR,RZRR,MRZW,MRZZ,MRMZ,MRMM,MRMW,MRRW,MRRZ,MRMR,MRRR,RRZW,RRZZ,RRMZ,RRMM,RRMW,RRRW,RRRZ,RRMR,RRRR
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,4.13267805065238,18.3673968551442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3673968551442,81.6326031448558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,10.9780753771205,31.997067692951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7143311381812,74.2856688618188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,19.5884198810549,42.0190352185068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2100413357449,67.5999586642551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,29.309809049159,49.2530499972387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8411376155279,61.5159623844721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,39.6809020631287,54.3113745748898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5954352301304,55.9795257698696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,50.3715603576543,57.6614862887391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4618460594186,50.9413684505814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,61.1437627814656,59.666384572549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.430279914071,46.356645290029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,71.8256819188664,60.6116270790836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49155472180458,42.1845472139264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,82.2939151716496,60.7241109222814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63731479684217,38.3879379646731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,92.4609724098069,60.185506241467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85995646512637,34.9330235478525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,104.669626070389,59.634641613078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152560383265,31.7890514285458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,121.792144225488,59.4570268699467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50882994877115,28.9280367999766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,148.316019773312,59.9111166711438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92303525338175,26.3245134879787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,192.444998503557,61.1697175741481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38996208057739,23.9553072740607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,271.946680025029,63.3750859289643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90486549332542,21.7993296193952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,247.471478822777,57.6713281953575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46342759892614,19.8373899536496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,225.199045728727,52.4809086577753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06171911502278,18.0520248578212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,204.931131613141,47.7576268785755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69616439467073,16.4273426206173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,186.487329767959,43.4594404595037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36350959915037,14.9488817847617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,169.703470088842,39.5480908181484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06079373522683,13.6034824241332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,154.430157780847,35.9887626445151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78532229905642,12.3791690059612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,140.53144358057,32.7497740065087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53464329214134,11.2650437954247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,127.883613658319,29.8022943459229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30652539584862,10.2511898538364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,116.37408842907,27.1200878547899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09893811022225,9.32858276699117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,105.900420470454,24.6792799478588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91003368030224,8.48901031796196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,96.3693826281132,22.4581447525515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73813064907504,7.72499938934539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,87.696138191583,20.4369117248219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58169889065829,7.0297494443043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,79.8034857543405,18.5975896695879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43934599049904,6.39707199431691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,72.6211720364499,16.923806599325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30980485135413,5.82133551482839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,66.0852665531694,15.4006640053857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19192241473226,5.29741531849384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,60.1375925633842,14.014604244901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08464939740635,4.82064793982939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,54.7252092326796,12.7532898628599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987030951639782,4.38678962524475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,49.7999404017384,11.6054937752025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898198165992202,3.99197855897272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,45.317945765582,10.5609993354343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817360331052904,3.63270048866518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,41.2393306466796,9.61050939524522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743797901258142,3.30575744468531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0,37.5277908884784,8.74556354967315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676856090144909,3.00823927466363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,34.1502897085154,7.95846283020256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615939042031868,2.73749773994391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0,31.076763634749,7.24220117548433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560504528249,2.49112294334895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,28.2798549076216,6.59040306969074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51005912070659,2.26692187844755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,0,25.7346679659356,5.99726679341858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464153799842997,2.06289890938727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,23.4185478490014,5.45751278201091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422379957857127,1.87723800754241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,21.3108785425913,4.96633663162992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384365761649985,1.7082865868636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,19.3928994737581,4.51936633478323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349772843101487,1.55454079404587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,17.6475385211199,4.11262336465274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318293287222353,1.41463212258175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,16.0592600542191,3.74248726183399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289646891372341,1.28731523154939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,14.6139266493394,3.40566340826893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263578671148831,1.17145686070994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,13.2986732508988,3.09915370152473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239856590745436,1.06602574324605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,12.1017926583179,2.8202298683875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218269497578347,0.970083426353904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,11.0126313190693,2.56640918023263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198625242796295,0.882775917982053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,10.0214945003531,2.33543235401169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180748970944629,0.803326085363668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,9.1195599953213,2.12524344215064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164481563559612,0.731026737680938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,8.29879959574238,1.93397153235708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149678222839247,0.665234331289654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,7.55190763212557,1.75991409444494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136207182783715,0.605363241473585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,6.87223594523427,1.6015218259449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123948536333181,0.550880549740962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,6.25373471016318,1.45738486160986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112793168063194,0.501301300264276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,5.6908985862485,1.32622022406497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102641782937507,0.456184183240491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,5.17871771348613,1.20686040389912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934040224731312,0.415127606748847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,0,4.71263311927238,1.0982429675482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849976604505494,0.37776612214145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,4.28849613853787,0.999401100468865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07734787101,0.34376717114872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,0,3.90253148606946,0.909455001426667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703865626191,0.312828125745335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,0,3.55130365232321,0.827604051298267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064051771983381,0.284673594428255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
